Primary Indicators,,,,,,,,,,,Secondary Indicators,,,,,,,
Date,4% plus daily,4% down daily,5 day breadth ratio,10 day breadth ratio,Bottom Day,TNA Vbbee buy/sale,25% plus  quarter,25% down quarter,Primary Breadth Ratio,,25% plus month,25% down month,50% plus month,50% down month,34/13 bull,34/13 bear,Common Stocks,T2108
12/31/2012,260,33,1.67,1.75,,,596,283,2.11,,44,13,5,2,1316,287,5785,64.28
12/28/2012,39,59,0.58,1.42,,,464,331,1.40,,29,14,6,1,1013,382,5785,52.03
12/27/2012,24,58,0.72,1.47,,,505,327,1.54,,35,12,7,1,1131,363,5785,57.09
12/26/2012,49,71,0.95,1.58,,,513,329,1.56,,48,14,6,1,1161,379,5784,59.21
12/24/2012,13,9,1.61,1.87,,,531,314,1.69,,53,14,6,0,1268,407,5782,62.37
12/21/2012,69,139,1.80,1.90,,,553,320,1.73,,56,12,5,0,1343,399,5842,64.69
12/20/2012,87,57,2.47,2.18,,,684,302,2.26,,71,10,7,0,1442,358,5842,68.06
12/19/2012,96,56,2.37,2.19,,,564,298,1.89,,70,8,7,0,1298,383,5842,66.45
12/18/2012,233,48,2.34,2.02,,,572,311,1.84,,78,9,7,0,1345,384,5841,67.07
12/17/2012,155,56,2.17,1.61,,,482,351,1.37,,71,6,10,0,1142,457,5840,61.28
12/14/2012,100,55,2.03,1.44,,,419,358,1.17,,64,9,7,0,1015,520,5841,56.28
12/13/2012,70,61,1.89,1.41,,,415,371,1.12,,54,14,8,0,999,535,5839,57.82
12/12/2012,96,60,1.98,1.62,,,440,353,1.25,,49,13,10,0,1102,509,5837,62.65
12/11/2012,164,37,1.71,1.75,,,466,356,1.31,,47,16,7,1,1157,525,5836,64.26
12/10/2012,105,51,1.17,1.58,,,407,392,1.04,,36,16,5,1,985,578,5826,60.59
12/7/2012,59,53,1.01,1.61,,,406,401,1.01,,35,22,3,1,911,647,5824,59.12
12/6/2012,76,51,1.09,1.76,,,409,399,1.03,,29,21,2,1,911,699,5823,58.23
12/5/2012,85,94,1.37,1.84,,,410,403,1.02,,24,33,2,2,869,713,5823,56.89
12/4/2012,77,94,1.79,1.97,,,434,382,1.14,,29,29,2,2,952,686,5821,53.65
12/3/2012,66,66,2.08,2.61,,,447,369,1.21,,33,33,2,2,913,665,5820,54.01
11/30/2012,110,75,2.38,2.65,,,459,363,1.26,,34,39,3,2,964,658,5820,56.79
11/29/2012,168,41,2.99,2.00,,,453,364,1.24,,44,35,5,2,956,677,5819,56.09
11/28/2012,149,42,2.73,1.14,,,408,401,1.02,,52,47,5,3,795,747,5819,48.12
11/27/2012,94,58,2.24,0.94,,,383,426,0.90,,39,50,2,4,694,811,5819,44.19
11/26/2012,142,62,3.41,0.89,,,368,423,0.87,,46,48,5,4,703,816,5818,44.74
11/23/2012,65,4,3.00,0.81,,,344,402,0.86,,31,51,6,,609,830,5813,45.11
11/21/2012,93,33,1.51,0.70,,,333,485,0.69,,33,68,4,6,544,990,5813,34.08
11/20/2012,87,58,0.74,0.51,,,311,504,0.62,,29,72,5,5,486,1057,5813,31.76
11/19/2012,243,28,0.62,0.54,,,308,499,0.62,,22,89,4,7,445,1065,5813,30.01
11/16/2012,122,80,0.39,0.46,,,267,564,0.47,,19,130,2,8,339,1329,5813,20.04
11/15/2012,77,214,0.34,0.41,,,260,586,0.44,,24,130,2,6,296,1487,5812,17.34
11/14/2012,39,392,0.34,0.57,,,278,550,0.51,,24,111,2,6,318,1372,5812,19.14
11/13/2012,56,151,0.33,0.77,,,330,463,0.71,,37,83,3,5,394,1095,5812,26.89
11/12/2012,66,94,0.46,0.82,,,347,441,0.79,,35,82,4,4,412,1047,5810,29.88
11/9/2012,80,96,0.53,0.85,,,358,422,0.85,,35,70,4,3,391,1056,5806,29.63
11/8/2012,77,205,0.49,0.85,,,363,413,0.88,,33,70,4,3,387,1081,5805,
11/7/2012,56,468,0.83,0.88,,,416,364,1.14,,32,70,4,1,437,955,5799,
11/6/2012,158,82,1.63,1.24,,,523,291,1.80,,35,51,3,2,593,721,5799,
11/5/2012,110,56,1.47,0.95,,,549,302,1.82,,29,47,4,2,511,811,5799,
11/2/2012,81,180,1.35,0.86,,,553,320,1.73,,31,54,2,2,468,903,5800,
11/1/2012,306,67,1.59,1.02,,,606,285,2.13,,38,50,5,1,534,771,5805,
10/31/2012,189,133,0.96,0.89,,,562,321,1.75,,34,51,5,2,428,855,5803,
