Date,4% plus daily,4% down daily,25% plus quarter,25% down quarter,25% month,25 down month,50% up,50% down,Stocks up 100% plus in  260 days,Stocks up 200% plus in 260 days,Stocks up 4% today + up 100% plus,Stocks up 4% today + up 200% plus
9/13/2007,107,46,595,812,134,18,8,2,288,68,11,4
9/12/2007,95,75,589,822,81,30,9,2,297,66,11,3
9/11/2007,217,48,584,802,65,43,6,1,304,68,36,8
9/10/2007,72,135,513,893,53,49,7,2,273,64,14,7
9/7/2007,46,256,532,801,83,53,8,2,289,68,7,1
9/6/2007,183,48,639,720,88,51,7,2,307,66,24,5
9/5/2007,82,138,593,774,78,41,8,3,299,65,19,2
9/4/2007,281,49,640,727,107,43,6,2,334,72,58,17
8/31/2007,215,12,567,777,92,,6,,303,65,39,12
8/30/2007,77,50,495,872,40,,2,,272,63,17,5
8/29/2007,300,22,495,857,60,,6,,277,62,42,9
8/28/2007,34,513,388,975,38,,4,,240,55,2,0
8/27/2007,102,81,516,821,57,,6,,289,65,22,10
8/24/2007,187,27,558,781,67,,6,,301,65,31,9
8/23/2007,97,87,474,841,47,,7,,282,59,14,5
8/22/2007,406,41,530,806,44,,6,,291,60,73,18
8/21/2007,157,60,536,970,md,,md,,md,md,md,md
8/20/2007,124,30,409,975,29,,5,,242,48,14,7
8/17/2007,285,24,413,1022,25,,5,,225,48,12,4
8/16/2007,604,493,334,1270,19,,3,,203,43,19,4
8/15/2007,60,563,304,1183,22,,3,,234,49,5,1
8/14/2007,46,366,353,1009,26,,4,,270,59,6,4
8/13/2007,123,125,432,836,25,,5,,315,67,17,7
8/10/2007,220,206,487,838,28,,5,,298,63,11,2
8/9/2007,179,750,579,933,48,,4,,304,68,16,5
8/8/2007,1063,237,580,766,58,,4,,350,76,83,19
8/7/2007,371,182,432,921,50,,3,,325,72,53,16
8/6/2007,408,335,387,943,32,,3,,320,73,31,8
8/3/2007,72,816,400,954,31,,5,,332,66,8,0
8/2/2007,198,125,495,695,48,,7,,369,81,34,9
8/1/2007,128,290,469,705,46,,8,,366,76,22,3
7/31/2007,133,191,503,658,54,,7,,390,87,26,7
7/30/2007,178,94,519,613,62,,8,,395,89,46,9
7/27/2007,79,235,477,563,62,,8,,,,,
7/26/2007,76,765,518,548,60,,9,,,,,
7/25/2007,119,164,652,441,87,,16,,,,,
7/24/2007,50,635,685,418,97,,17,,,,,
7/23/2007,122,88,841,335,116,,21,,,,,
7/20/2007,55,182,830,329,107,,18,,,,,
7/19/2007,177,46,914,292,117,,20,,,,,
7/18/2007,81,93,854,318,85,,12,,,,,
7/17/2007,125,65,865,299,96,,13,,,,,
7/16/2007,79,103,867,283,100,,12,,,,,
7/13/2007,110,40,910,262,114,,14,,,,,
7/12/2007,260,40,945,265,124,,16,,,,,
7/11/2007,127,61,842,285,109,,19,,,,,
7/10/2007,71,165,816,282,74,,11,,,,,
7/9/2007,183,38,905,256,105,,16,,,,,
7/6/2007,124,26,875,257,103,,9,,,,,
7/5/2007,161,29,843,263,66,,4,,,,,
7/3/2007,43,17,847,281,53,,3,,,,,
7/2/2007,195,45,858,289,47,,5,,,,,
6/29/2007,99,58,778,292,37,,5,,,,,
6/28/2007,103,39,807,293,48,,4,,,,,
6/27/2007,167,35,795,291,43,,3,,,,,
6/26/2007,71,106,726,328,40,,5,,,,,
6.25/2007,52,63,756,307,54,,6,,,,,
6/22/2007,83,123,823,279,75,,6,,,,,
6/21/2007,127,48,886,252,57,,4,,,,,
6/20/2007,67,92,880,255,55,,6,,,,,
6/19/2007,121,25,1001,234,80,,9,,,,,
6/18/2007,130,35,1017,243,92,,8,,,,,
6/15/2007,209,19,1013,240,85,,7,,,,,
6/14/2007,141,25,945,260,81,,6,,,,,
6/13/2007,160,27,925,275,74,,7,,,,,
6/12/2007,39,132,819,292,62,,6,,,,,
6/11/2007,106,39,896,252,67,,7,,,,,
6/8/2007,96,29,881,251,70,,8,,,,,
6/7/2007,40,277,834,264,63,,10,,,,,
6/6/2007,47,73,1007,233,88,,11,,,,,
6/5/2007,84,58,1218,231,100,,13,,,,,
6/4/2007,143,47,1264,228,102,,15,,,,,
6/1/2007,164,28,1221,220,103,,14,,,,,
5/31/2007,184,37,1135,245,99,,12,,,,,
5/30/2007,132,42,1081,251,114,,15,,,,,
5/29/2007,138,26,1008,286,99,,11,,,,,
5/25/2007,96,29,947,310,75,,11,,,,,
5/24/2007,43,192,873,326,72,,13,,,,,
5/23/2007,95,54,1005,303,92,,17,,,,,
5/22/2007,152,43,1022,307,99,,15,,,,,
5/21/2007,204,36,994,320,101,,14,,,,,
5/18/2007,176,26,919,354,93,,13,,,,,
5/17/2007,94,48,857,384,98,,11,,,,,
5/16/2007,115,68,857,371,81,,8,,,,,
5/15/2007,61,145,814,367,72,,8,,,,,
5/14/2007,87,98,861,334,72,,12,,,,,
5/11/2007,155,50,908,319,97,,11,,,,,
5/10/2007,59,252,833,347,92,,9,,,,,
5/9/2007,149,64,971,305,114,,11,,,,,
5/8/2007,104,83,960,302,88,,10,,,,,
5/7/2007,120,43,981,293,81,,9,,,,,
5/4/2007,143,80,974,296,81,,10,,,,,
5/3/2007,147,82,937,299,78,,7,,,,,
5/2/2007,228,61,916,290,69,,9,,,,,
5/1/2007,99,122,816,321,62,,11,,,,,
4/30/2007,72,225,845,299,70,,10,,,,,
4/27/2007,125,80,973,269,95,,11,,,,,
4/26/2007,173,105,987,252,101,,8,,,,,
4/25/2007,186,68,995,240,83,,6,,,,,
4/24/2007,114,76,950,245,58,,4,,,,,
4/23/2007,105,42,964,236,61,,5,,,,,
4/20/2007,138,34,971,223,62,,5,,,,,
4/19/2007,79,77,865,239,65,,4,,,,,
4/18/2007,87,53,942,230,91,,9,,,,,
4/17/2007,82,53,957,231,110,,9,,,,,
4/16/2007,207,40,1029,236,152,,14,,,,,
4/13/2007,163,23,955,260,117,,11,,,,,
4/12/2007,164,41,938,269,115,,12,,,,,
4/11/2007,72,61,868,274,98,,9,,,,,
4/10/2007,134,43,920,264,72,,8,,,,,
4/9/2007,152,51,874,280,90,,9,,,,,
4/6/2007,124,39,859,276,80,,10,,,,,
4/4/2007,122,40,840,305,88,,8,,,,,
4/3/2007,171,35,823,313,86,,8,,,,,
4/2/2007,103,50,749,331,112,,9,,,,,
3/30/2007,120,53,733,318,73,,9,,,,,
3/29/2007,99,54,727,319,53,,7,,,,,
3/28/2007,67,61,707,328,51,,7,,,,,
3/27/2007,61,63,751,305,64,,6,,,,,
3/26/2007,108,39,789,297,38,,6,,,,,
3/23/2007,103,26,794,304,36,,5,,,,,
3/22/2007,139,44,773,310,32,,2,,,,,
3/21/2007,243,23,749,336,36,,3,,,,,
3/20/2007,134,33,643,382,29,,3,,,,,
3/19/2007,112,35,613,386,35,,4,,,,,
3/16/2007,76,69,564,422,32,,3,,,,,
3/15/2007,121,33,579,400,34,,2,,,,,
3/14/2007,79,64,547,421,38,,4,,,,,
3/13/2007,34,439,535,424,39,,6,,,,,
3/12/2007,130,39,650,353,52,,8,,,,,
3/9/2007,79,55,613,314,46,,8,,,,,
3/8/2007,135,35,597,354,51,,8,,,,,
3/7/2007,112,56,585,369,44,,7,,,,,
3/6/2007,262,21,567,361,47,,6,,,,,
3/5/2007,26,426,493,443,41,,7,,,,,
3/2/2007,42,186,585,355,46,,7,,,,,
3/1/2007,74,111,645,307,53,,8,,,,,
28/2/2007,105,56,677,279,64,,7,,,,,
27/02/2007,24,1404,656,281,65,,8,,,,,
26/02/2007,109,66,957,193,39,,13,,,,,
23/02/2007,111,48,964,187,154,,19,,,,,
22/02/07,166,39,977,195,30,,18,,,,,
21/02/07,155,45,932,198,156,,19,,,,,
20/02/07,196,46,933,206,156,,21,,,,,
16/02/07,128,31,904,214,117,,15,,,,,
,300 plus significant,300 plus significant,"Levels below 200 bullish, start of new rally zone","Levels below 200 , caution, rally reversal zone",,,"Levels to watch Bullish<3, bearish>20",,,,,
