Date,# of Stocks Up >4%  on high volume,# of stocks down >4%  on high volume,Oscillator % ratio,Primary Indicator,# of stocks up >25% in a quarter,# of stocks down >25% in a quarter,Oscillator % ratio,Secondary Indicators,# of stocks up >50% in a month,# of stocks down >50% in a month,,# of stocks up >25% in a month,# of stocks down >25% in a month,,# of stocks up >100% in a year,# of stocks up >200% in a year,,MM 34/13 +,MM 34/13 -,,,# of stocks in Worden Database
,300 plus significant,300 plus significant,,,Levels below 200 bullish,Levels below 200 bearish,,,"Bullish=<3, bearish>=20",bullish>=20,,"Ratio>1  bullish, Ratio<1  bearish",,,Bullish<100,Bearish>300,,Green Bullish,Red Bearish,,,
12/31,952,92,,,2849,2415,,,74,11,,533,68,,304,54,,3780,1202,,,
12/30,877,177,,,2537,2580,,,107,15,,680,78,,246,41,,3522,1577,,,
12/29,198,688,,,2199,2987,,,18,9,,160,147,,201,36,,3247,2048,,,
12/26,301,100,,,2396,2939,,,24,10,,215,130,,,,,3384,1908,,,
12/24,56,41,,,2256,3032,,,55,11,,365,100,,,,,3288,2077,,,
12/23,135,247,,,2228,3092,,,74,14,,418,98,,,,,3252,2299,,,
12/22,98,318,,,2473,3368,,,203,14,,917,64,,,,,,,,,
12/19,660,360,,,2583,3156,,,445,13,,1480,59,,,,,3543,2287,,,
12/18,269,564,,,2476,3196,,,171,12,,870,81,,207,36,,3445,2387,,,
12/17,457,227,,,2652,3158,,,93,11,,544,105,,256,41,,3513,2235,,,
12/16,1959,102,,,2616,3203,,,58,15,,436,139,,229,34,,3483,2294,,,
12/15,118,490,,,1994,3472,,,21,14,,151,193,,135,21,,3055,2958,,,
12/12,480,137,,,2238,3419,,,16,19,,123,212,,173,28,,3342,2686,,,
12/11,151,1003,,,1979,3549,,,24,21,,198,192,,141,24,,3162,3015,,,
12/10,500,130,,,2374,3393,,,20,23,,152,268,,190,29,,3459,2408,,,
12/9,220,480,,,2119,3500,,,9,42,,75,417,,142,22,,3292,2824,,,
12/8,1288,149,,,2366,3399,,,9,55,,88,427,,180,28,,3462,2622,,,
12/5,941,203,,,1862,3536,,,11,72,,77,533,,129,23,,3054,3145,,,
12/4,180,686,,,1439,3676,,,5,122,,32,917,,,,,2624,3496,,,
12/3,597,210,,,1775,3610,,,4,151,,33,1098,,87,15,,3152,3263,,,
12/2,1043,162,,,1456,3713,,,2,139,,31,1049,,79,12,,2865,3473,,,6982
12/1,80,3101,,,1012,3873,,,2,189,,33,1307,,73,13,,2085,3836,,,
11/28,62,27,,,2343,2568,,,4,80,,76,505,,,,,3658,3115,,,
11/26,880,71,,,2215,3684,,,12,74,,135,427,,78,14,,3716,3241,,,
11/25,417,258,,,1371,3775,,,13,96,,109,562,,49,9,,3072,3634,,,
11/24,852,95,,,1143,3800,,,28,87,,207,449,,49,9,,2864,3713,,,
11/21,1261,358,,,425,4000,,,5,184,,64,924,,50,12,,1233,4043,,,
11/20,115,2390,,,256,4100,,,4,241,,41,1407,,49,16,,574,4202,,,
11/19,61,1633,,,411,3924,,,5,184,,36,1054,,,,,865,4062,,,6987
11/18,251,608,,,660,3723,,,4,165,,36,949,,55,9,,1389,3828,,,
11/17,114,498,,,678,3730,,,4,159,,34,1074,,55,9,,1419,3947,,,
11/14,68,428,,,749,3683,,,5,115,,41,770,,54,7,,1638,3945,,,
11/13,2242,207,,,1125,3542,,,6,82,,81,533,,61,9,,2520,3735,,,
11/12,56,1665,,,639,3795,,,9,84,,69,632,,51,9,,1350,4105,,,
11/11,83,869,,,1004,3598,,,3,86,,40,782,,56,9,,2116,3989,,,
11/10,152,600,,,1288,3551,,,4,70,,71,756,,60,10,,2522,3951,,,
11/7,338,174,,,1482,3489,,,67,29,,471,327,,68,13,,2886,3931,,,
11/6,118,1213,,,1257,3618,,,45,26,,365,330,,61,9,,2582,4085,,,
11/5,98,1004,,,1790,3466,,,20,29,,172,404,,89,12,,3370,4080,,,
11/4,1119,205,,,2574,3192,,,28,26,,206,314,,125,18,,4042,3878,,,
11/3,327,168,,,2093,3342,,,9,45,,87,601,,99,18,,3860,4018,,,
10/31,1051,165,,,2036,3409,,,4,90,,35,901,,96,15,,3824,4099,,,
10/30,699,123,,,1490,3571,,,1,163,,32,1316,,79,12,,3311,4268,,,
10/29,759,236,,,910,3782,,,12,318,,37,2125,,51,8,,,,,,
10/28,2036,208,,,675,3828,,,15,433,,43,2315,,53,10,,,,,,
10/27,72,819,,,429,4140,,,28,500,,57,2623,,53,14,,,,,,
10/24,93,687,,,522,4574,,,34,588,,58,2935,,55,12,,,,,,
10/23,233,968,,,619,3939,,,29,487,,57,2718,,54,10,,1222,4567,,,
10/22,61,1653,,,671,3927,,,26,380,,57,2472,,65,13,,1282,4584,,,
10/21,141,768,,,982,3663,,,14,217,,41,1997,,70,10,,2044,4518,,,
10/20,478,87,,,1166,3512,,,12,206,,40,1863,,66,10,,2564,4458,,,
10/17,275,363,,,753,3849,,,23,384,,50,2696,,59,8,,1720,4607,,,
10/16,1495,283,,,719,3834,,,13,240,,43,2117,,63,6,,1776,4593,,,
10/15,38,1023,-93,,485,4161,-79,,14,194,,44,2050,,48,6,,1105,4745,,,
10/14,393,595,-20,,1110,3542,-52,,5,116,,36,1601,,57,7,,2588,4629,,,
10/13,547,55,82,,1092,3465,-52,,3,106,,38,1488,,43,6,,2980,4570,,,
10/10,1085,1231,,,349,4163,,,30,457,,53,2973,,48,4,,589,4730,,,
10/9,58,1183,,,219,4293,,,35,362,,59,3015,,44,4,,180,4757,,,
10/8,290,1154,-60,,362,3705,,,15,171,,56,2192,,49,3,,294,4623,,,
10/7,32,733,-92,,357,3488,,,9,129,,40,1852,,47,6,,269,4565,,,
10/6,99,2253,-92,,498,2986,-71,,4,100,,44,1585,,58,7,,392,4309,,,
10/3,112,764,-74,,597,2370,-60,,2,53,,40,893,,76,11,,532,3944,,,
10/2,48,1484,-94,,683,2157,-52,,6,44,,49,733,,92,18,,624,3746,,,
10/1,155,252,-24,,876,1715,-32,,4,34,,40,538,,114,23,,949,3215,,,7033
9/30,603,135,63,,913,1693,-30,,5,33,,48,541,,104,24,,987,3110,,,
9/29,111,2443,-91,,780,1966,-43,,6,54,,52,868,,94,20,,628,3573,,,7032
9/26,120,344,-48,,1132,1307,-7,,8,23,,76,366,,,,,1281,2432,,,
9/25,338,154,37,,1171,1256,-4,,14,16,,92,246,,137,30,,1405,2294,,,
9/24,110,282,-44,,1063,1371,-13,,16,17,,111,252,,128,29,,1251,2561,,,
9/23,83,390,-65,,1166,1337,-7,,16,14,,125,210,,,,,1415,2396,,,
9/22,89,115,-13,,1302,1209,4,,13,15,,100,188,,,,,1717,2115,,,
9/19,1248,327,58,,1680,1052,23,,51,13,,254,132,,215,40,,2476,1567,,,
9/18,1851,176,83,,1203,1471,-10,,29,17,,159,320,,164,30,,1448,2296,,,
9/17,119,1221,-82,,757,1808,-41,,3,29,,50,433,,96,21,,686,2880,,,
9/16,715,412,27,,989,1439,-19,,4,22,,58,238,,,,,992,2212,,,
9/15,47,1327,-93,,851,1471,-27,,1,20,,28,275,,123,24,,771,2325,,,
9/12,216,119,29,,1091,1122,-1,,2,9,,46,143,,153,38,,1317,1658,,,
9/11,159,196,-10,,1095,1189,-4,,4,7,,56,177,,,,,1215,1736,,,
9/10,189,165,7,,1085,1182,-4,,4,8,,41,135,,147,28,,1205,1706,,,
9/9,43,1085,-92,,1031,1241,-9,,2,8,,40,160,,,,,1137,1855,,,
9/8,555,187,50,,1238,1009,10,,12,7,,82,64,,,,,1469,1401,,,
9/5,,,#DIV/0!,,,,#DIV/0!,,,,,,,,,,,,,,,
9/4,61,698,-84,,1071,1124,-2,,12,2,,75,79,,,,,1296,1531,,,
9/3,226,254,-6,,1301,952,15,,16,3,,115,53,,,,,1701,1161,,,
9/2,238,479,-34,,1249,937,14,,17,3,,146,46,,,,,1755,1100,,,
8/29,76,109,-18,,1248,869,18,,9,2,,107,53,,,,,2109,1008,,,
8/28,348,57,72,,1329,854,22,,16,2,,137,54,,,,,2325,973,,,
8/27,220,71,51,,1169,940,11,,12,3,,98,68,,,,,2088,1126,,,
8/26,135,109,11,,1069,1013,3,,11,6,,104,74,,,,,1927,1289,,,
8/25,39,279,-75,,1025,1052,-1,,13,3,,141,69,,167,39,,1890,1320,,,
8/22,241,60,60,,1227,952,13,,13,5,,126,65,,185,43,,2220,1093,,,
8/21,149,131,6,,1080,990,4,,13,6,,136,70,,175,36,,2089,1242,,,
8/20,202,106,31,,1104,1025,4,,10,7,,112,107,,,,,2152,1232,,,
8/19,99,338,-55,,1124,1083,2,,10,7,,127,121,,,,,2118,1315,,,
8/18,65,178,-47,,1296,1030,11,,27,5,,261,116,,,,,2345,1199,,,
8/15,143,158,-5,,1450,959,20,,36,4,,314,90,,221,50,,2535,1087,,,
8/14,205,89,39,,1434,943,21,,29,4,,302,71,,,,,2562,1066,,,
8/13,276,174,23,,1344,993,15,,45,5,,382,83,,,,,2445,1147,,,
8/12,112,209,-30,,1353,1020,14,,105,5,,644,131,,203,42,,2408,1266,,,
8/11,484,172,48,,1450,988,19,,125,5,,715,154,,209,38,,2506,1203,,,
8/8,584,162,57,,1263,1048,9,,61,6,,449,139,,,,,2296,1309,,,
8/7,116,456,-59,,987,1176,-9,,38,3,,297,100,,172,41,,1892,1576,,,
8/6,257,141,29,,1153,1082,3,,47,2,,400,72,,,,,2114,1468,,,
8/5,716,190,58,,1117,1145,-1,,26,5,,270,106,,,,,2035,1562,,,
8/4,97,587,-72,,942,1249,-14,,39,4,,343,100,,170,44,,1719,1830,,,
8/1,163,184,-6,,1040,1130,-4,,34,3,,324,84,,202,52,,1889,1674,,,
7/31,199,231,-7,,1003,1097,-4,,26,2,,269,97,,194,49,,1863,1669,,,
7/30,352,165,36,,1057,1036,1,,14,6,,211,103,,,,,1957,1556,,,
