,Primary Breadth Indicators,,,,,,Secondary Breadth Indicators,,,,,,,,
Date,Number of stocks up 4% plus today,Number of stocks down 4% plus today,5 day ratio,10 day  ratio ,Number of stocks up 25% plus in a quarter,Number of stocks down 25% + in a quarter,Number of stocks up 25% + in a month,Number of stocks down 25% + in a month,Number of stocks up 50% + in a month,Number of stocks down 50% + in a month,Number of stocks up 13% + in 34 days,Number of stocks down 13% + in 34 days, Worden Common stock universe,T2108 ,S&P
5/22/2025,211,126,0.96,1.61,1499,1068,235,70,47,16,2534,892,6141,54.00,"5,842.01"
5/21/2025,97,678,0.95,1.76,1495,1128,304,68,57,17,2547,989,6141,55.09,"5,844.61"
5/20/2025,242,117,1.61,2.34,1741,991,468,42,92,14,2907,869,6139,66.35,"5,940.46"
5/19/2025,209,120,1.62,1.91,1733,1036,606,34,124,11,2920,879,6138,67.35,"5,963.60"
5/16/2025,332,99,2.76,1.79,1750,1045,509,39,95,14,2917,891,6134,67.13,"5,958.38"
5/15/2025,227,148,2.42,1.86,1657,1091,519,44,90,15,2819,989,6131,64.99,"5,916.93"
5/14/2025,193,265,2.74,1.86,1660,1131,452,50,84,17,2748,1076,6131,60.59,"5,892.58"
5/13/2025,338,170,2.95,1.90,1720,1083,472,52,70,16,2846,984,6131,64.23,"5,886.55"
5/12/2025,1230,159,2.11,1.89,1633,1102,475,44,67,12,2848,987,6132,63.87,"5,844.19"
5/9/2025,254,186,1.13,1.39,1268,1320,339,42,55,15,2415,1303,6127,55.37,"5,659.91"
5/8/2025,600,176,1.41,1.40,1238,1334,166,52,31,15,2442,1281,6127,54.80,"5,663.94"
5/7/2025,230,207,1.13,1.40,1030,1477,436,39,46,10,2173,1497,6127,47.31,"5,631.28"
5/6/2025,190,459,1.10,1.68,980,1479,280,43,32,16,2147,1520,6125,44.81,"5,606.91"
5/5/2025,124,210,1.58,2.52,1107,1434,341,41,37,16,2337,1362,6125,47.50,"5,650.38"
5/2/2025,495,111,1.84,2.26,1172,1393,205,43,27,12,2500,1276,6125,50.02,"5,686.67"
