Date,4% plus daily,4% down daily,25% plus quarter,25% down quarter,Primary Breadth Trend,10 day ratio,25% month,25 down month,34/13 diffrenence,MMA bull,MMA bear,50% up,50% down,,34/13 bull,34/13 bear,liquidity universe,,Total,100% plus year,200% plus year
,,,,,,,,,,,,,,,,,,,,,
12/31/09,82,60,1001,351,bullish,1.69,78,10,1051,54,23,6,2,neutral,1461,410,3164,1350,5812,2182,988
12/30/09,104,73,1087,363,bullish,1.80,107,8,1204,55,23,9,2,neutral,1625,421,3186,1358,5812,2104,960
12/29/09,111,53,1073,365,bullish,1.71,154,10,1235,54,23,12,2,neutral,1643,408,3142,1360,5797,,
12/28/09,129,106,1111,367,bullish,1.93,171,13,1234,53,24,13,3,neutral,1668,434,3078,1393,5797,2104,960
12/24/09,48,17,1115,366,bullish,2.05,114,13,1323,52,25,8,3,neutral,1743,420,2993,1445,5797,,
12/23/09,199,41,1058,390,bullish,1.91,110,18,1232,49,26,7,2,neutral,1698,466,2854,1531,5797,,
12/22/09,190,51,954,431,bullish,1.79,86,22,1170,47,28,9,2,neutral,1692,522,2746,1651,5798,2026,
12/21/09,146,52,873,448,bullish,1.49,102,17,1053,45,30,9,2,neutral,1608,555,2622,1724,5796,2031,909
12/18/09,326,146,811,481,bullish,1.47,77,20,927,44,31,9,1,neutral,1553,626,2527,1805,5793,2031,909
12/17/09,57,227,744,525,bullish,1.57,41,22,815,44,32,6,2,neutral,1457,642,2572,1843,5792,2032,909
12/16/09,183,62,847,486,bullish,1.82,62,21,1151,46,30,6,1,neutral,1659,508,2683,1763,5787,,
12/15/09,112,122,818,502,bullish,1.86,56,26,1027,46,31,7,1,neutral,1618,591,2635,1792,5787,2032,909
12/14/09,313,58,845,480,bullish,2.29,84,24,1095,45,31,7,2,neutral,1675,580,2624,1770,5776,2032,909
12/11/09,140,62,752,530,bullish,1.92,77,21,738,43,33,8,2,neutral,1460,722,2498,1884,5776,2033,909
12/10/09,111,109,706,551,bullish,1.65,57,25,512,42,33,6,4,neutral,1338,826,2428,1932,5776,,
12/9/09,119,58,747,541,bullish,1.81,70,19,465,42,33,10,3,neutral,1356,891,2438,1922,5776,2037,
12/8/09,74,162,783,534,bullish,1.73,59,25,434,38,35,7,2,bullish,1351,917,2205,2037,5768,2229,1171
12/7/09,138,65,915,509,bullish,2.09,98,15,603,38,35,12,2,bullish,1486,883,2240,2057,5829,2256,1171
12/5/09,320,75,940,503,bullish,2.00,96,18,528,38,35,11,2,bullish,1450,922,2240,2060,5832,2256,1171
12/3/09,81,101,886,563,bullish,1.30,131,18,112,38,35,15,2,bullish,1205,1093,2240,2060,5833,,
12/2/09,206,54,952,519,bullish,1.37,139,20,322,38,35,21,2,bearish,1342,1020,2240,2060,5831,2257,1171
12/1/09,328,56,908,556,bullish,1.22,153,25,196,38,35,24,2,bearish,1212,1016,2240,2060,5830,2257,1171
11/30/09,249,178,800,615,bullish,1.36,113,29,-304,36,40,17,3,neutral,967,1271,2077,2319,5828,2257,1171
11/26/09,12,136,770,615,bullish,1.43,74,39,-410,38,35,11,3,neutral,906,1316,2240,2060,5829,2257,1171
11/25/09,133,30,924,525,bullish,1.29,156,23,104,38,35,22,3,bearish,1207,1103,2240,2060,5824,2257,1171
11/24/09,78,78,906,549,bullish,1.31,85,44,48,39,35,7,4,neutral,1175,1127,2240,2060,5814,2257,1171
11/23/09,222,71,941,538,bullish,1.24,82,53,140,39,35,8,3,neutral,1236,1096,2240,2060,5812,2258,1171
11/20/09,88,81,831,597,bullish,1.42,49,82,-233,39,35,5,3,neutral,1013,1246,2240,2060,5812,2259,1171
11/19/09,54,328,882,590,bullish,1.44,48,113,-137,39,39,6,3,neutral,1095,1232,2240,2260,5809,2259,1171
11/18/09,144,94,1074,483,bullish,2.10,67,76,502,39,35,7,3,neutral,1504,1002,2240,2060,5808,2259,1171
11/17/09,107,104,1122,490,bullish,1.95,57,85,584,39,35,9,4,neutral,1572,988,2240,2060,5806,2259,1171
11/16/09,519,79,1176,472,bullish,2.16,46,96,607,39,35,10,3,neutral,1589,982,2240,2060,5806,2259,1171
11/15/09,168,69,998,561,bullish,1.72,42,120,-36,36,38,9,3,neutral,1203,1239,2091,2191,5805,2259,1171
11/12/09,71,291,910,590,bullish,1.01,37,142,-278,35,37,6,3,neutral,1054,1332,2052,2167,5796,2259,1171
11/11/09,211,72,1038,508,bullish,1.30,40,107,197,36,35,5,2,neutral,1345,1148,2106,2026,5794,2259,1171
11/10/09,98,167,981,563,bullish,0.75,44,95,-11,34,36,4,3,neutral,1209,1220,1997,2091,5792,2259,1171
11/9/09,483,85,1032,517,bullish,0.70,44,77,171,32,36,6,2,neutral,1308,1137,1882,2086,5810,2267,1171
11/6/09,140,99,880,590,bulish,0.51,32,97,-473,28,39,3,4,neutral,935,1408,1647,2256,5809,,
11/5/09,441,72,903,572,bullish,0.47,35,81,-473,26,39,3,2,neutral,921,1394,1504,2258,5807,,
11/4/09,146,186,767,700,bullish,0.40,28,106,-1151,22,39,0,3,bullish,631,1782,1260,2264,5804,,
11/3/09,327,84,802,663,bullish,0.38,26,97,-1058,21,37,1,4,bullish,635,1693,1223,2134,5804,,
11/2/09,107,149,730,747,bearish,0.30,27,84,-1382,20,35,1,3,bullish,496,1878,1163,2007,5804,,
10/30/09,60,854,756,706,bullish,0.32,33,63,-1428,21,31,3,4,bullish,489,1917,1245,1815,5810,2279,1171
10/29/09,357,59,1005,522,bullish,0.40,43,43,-682,28,28,2,1,bullish,761,1443,1611,1635,5810,2279,1171
10/28/09,30,1152,870,746,bullish,0.34,23,96,-1322,27,26,2,3,bullish,517,1839,1578,1511,5809,2279,1171
10/27/09,80,355,1159,472,bullish,0.73,36,78,383,41,23,2,4,bullish,1242,859,2388,1327,5805,2279,1171
10/26/09,67,400,1284,408,bullish,0.87,46,73,-6,48,21,2,4,bullish,1064,1070,2759,1220,5805,2279,1171
10/23/09,70,302,1417,340,bullish,1.14,87,37,473,53,19,10,1,neutral,1333,860,3104,1129,5806,2279,1171
10/22/09,202,91,1606,278,bullish,1.47,99,27,1034,57,18,13,1,neutral,1689,655,3334,1033,5804,2279,1171
10/21/09,99,218,1612,301,bullish,1.66,55,45,951,57,17,7,2,neutral,1671,720,3310,1011,5803,2279,1171
10/20/09,82,261,1737,274,bullish,1.98,57,40,1320,61,16,6,3,neutral,1935,615,3529,951,5799,2279,1171
10/19/09,173,78,1890,224,bullish,2.89,91,28,1667,63,15,14,4,neutral,2166,499,3658,885,5798,2269,1171
10/16/09,74,168,1828,229,bullish,3.23,69,28,1483,63,15,11,2,neutral,2020,537,3628,896,5796,2279,1171
10/15/09,178,84,1968,197,bearish,3.47,84,22,1741,64,15,14,2,neutral,2183,442,3707,879,5820,2279,1173
10/14/09,447,55,2019,192,bearish,1.66,86,26,1760,63,15,18,2,neutral,2206,446,3670,887,5819,2282,1173
10/13/09,125,77,2050,216,bullish,1.30,74,25,1318,62,16,15,2,neutral,1896,578,3628,947,5818,2277,1169
10/12/09,149,69,2158,203,bullish,1.30,84,22,1388,63,16,17,2,neutral,1943,555,3657,937,5817,2276,1169
10/9/09,152,46,2276,196,bearish,1.44,94,18,1426,63,16,17,2,neutral,1958,532,3688,939,5816,2329,1076
10/8/09,384,64,2236,199,bearish,1.36,94,23,1239,61,17,17,2,neutral,1852,613,3558,995,5816,2328,1075
10/7/09,124,52,2199,222,bullish,0.90,101,13,1028,59,17,16,2,neutral,1718,690,3421,997,5814,2314,1068
10/6/09,358,55,2193,221,bullish,0.83,117,13,1088,57,17,16,1,neutral,1771,683,3315,1008,5812,2315,1069
10/5/09,298,38,2045,256,bullish,0.81,109,16,747,52,17,15,0,neutral,1571,824,3031,994,5809,2315,1069
10/2/09,90,125,1863,298,bullish,0.71,96,15,336,50,16,11,0,neutral,1397,1061,2904,931,5808,2351,1046
10/1/09,39,723,1951,281,bullish,0.79,123,13,574,59,14,19,1,neutral,1504,930,3413,836,5806,2526,1054
30-Sept-2009,98,148,2242,183,bearish,1.22,248,8,1415,68,13,30,2,bearish,1957,542,3954,726,5805,2596,1203
29-Sept-2009,148,99,2286,168,bearish,1.67,169,17,1558,70,12,15,3,neutral,2023,465,4055,686,5803,2650,1227
28-Sept-2009,307,42,2314,167,bearish,1.89,133,18,1635,69,11,14,2,neutral,2081,446,4032,656,5803,2661,1222
25-Sept-2009,100,82,2142,189,bearish,1.84,84,20,1184,68,12,8,2,neutral,1784,600,3962,679,5801,2231,1036
9/24/09,51,437,2217,178,bearish,1.94,98,19,1318,72,11,9,2,neutral,1887,569,4171,640,5827,2264,1050
9/23/09,132,196,2423,131,bearish,3.27,145,13,1861,75,10,16,1,neutral,2234,373,4353,579,5799,,
9/22/09,327,67,2489,123,bearish,4.29,192,12,2046,76,10,26,1,bearish,2360,314,4380,555,5796,,
9/21/09,137,92,2437,134,caution,4.35,154,11,1857,75,9,22,1,bearish,2231,374,4343,549,5795,2437,
9/18/09,239,101,2497,124,caution,5.03,227,9,1976,75,9,21,1,bearish,2361,385,4357,543,5817,2394,1127
9/17/09,171,137,2464,131,caution,5.55,260,8,1989,74,10,22,1,bearish,2360,371,4333,561,5817,2338,1110
9/16/09,555,48,2496,131,caution,6.11,336,6,2055,73,11,33,1,bearish,2412,357,4280,633,5864,2269,1063
9/15/09,353,55,2330,160,caution,2.38,316,6,1822,71,12,30,1,bearish,2234,412,4158,727,5863,2251,1061
9/14/09,230,34,2215,178,caution,1.81,140,6,1660,69,13,12,1,neutral,2121,461,4068,771,5864,2190,1024
9/11/09,215,75,2152,185,caution,1.69,87,8,1491,68,14,8,1,neutral,2003,512,3977,804,5839,2158,1001
9/10/09,385,35,2152,187,caution,1.67,105,10,1568,67,14,13,1,neutral,2048,480,3901,824,5837,,
9/9/09,351,47,1999,209,bulish,1.49,101,12,1285,62,17,13,1,neutral,1859,574,3606,991,5838,1965,1072
9/8/09,394,73,1896,242,bullish,1.34,55,18,1130,60,17,7,1,neutral,1802,672,3520,997,5838,1992,915
9/4/09,243,19,1796,283,bullish,1.17,53,20,923,57,18,7,0,neutral,1680,757,3298,1034,5836,,
9/3/09,231,41,1641,333,bullish,1.30,63,19,641,53,18,7,0,neutral,1550,909,3073,1038,5832,1844,814
9/2/09,148,81,1531,383,bullish,1.31,46,52,366,52,17,7,0,neutral,1460,1094,3061,1000,5832,1782,771
9/1/09,58,635,1561,396,bullish,1.34,56,62,462,58,16,5,0,neutral,1509,1047,3386,929,5834,1838,792
8/31/09,86,253,1812,314,bullish,2.56,103,36,1176,66,14,14,0,neutral,1876,700,3823,829,5834,1949,867
8/28/09,142,75,2003,271,bullish,1.48,154,23,1782,69,13,21,1,bearish,2352,570,4046,774,5832,1969,904
8/27/09,177,69,2088,270,bullish,1.25,184,25,2012,71,13,22,1,bearish,2525,513,4114,750,5832,2009,908
8/26/09,175,54,2132,266,bullish,1.32,236,15,2225,70,13,35,1,bearish,2706,481,4105,740,5831,2023,917
8/25/09,182,69,2126,277,bullish,1.41,208,18,2253,70,13,28,2,bearish,2754,501,4074,747,5831,2008,903
8/24/09,164,79,2131,265,bullish,1.15,200,23,2308,69,13,20,1,bearish,2808,500,4037,772,5831,2017,908
8/21/09,462,48,2173,270,bullish,1.16,219,19,2361,68,14,26,2,bearish,2835,474,3955,792,5832,2045,890
8/20/09,256,54,1983,301,bullish,1.19,184,20,2049,64,15,23,2,bearish,2621,572,3719,848,5830,1863,816
8/19/09,159,49,1887,333,bullish,1.01,225,17,1871,62,15,30,2,bearish,2535,664,3621,865,5831,1887,799
8/18/09,203,34,1817,354,bullish,1.01,232,15,1674,61,15,30,2,bearish,2424,750,3553,852,5833,1809,763
8/17/09,39,796,1775,400,bullish,1.04,177,25,1297,62,14,26,2,bearish,2260,963,3623,799,5832,1715,699
8/14/09,74,255,2116,303,bullish,1.90,347,12,2029,69,12,48,2,bearish,2633,604,4036,697,5830,1900,882
8/13/09,265,62,2343,259,bullish,2.20,398,9,2346,72,11,54,2,bearish,2810,464,4172,665,5830,1981,865
8/12/09,323,59,2268,283,bullish,2.24,405,9,2305,71,11,56,2,bearish,2774,469,4145,658,5829,1978,833
8/11/09,87,325,2103,316,bullish,1.89,525,9,2109,71,11,75,2,bearish,2681,572,4115,660,5827,1896,793
8/10/09,187,89,2294,264,bullish,2.21,681,9,2469,73,11,117,1,bearish,2877,408,4263,628,5880,2003,850
8/7/09,549,77,2334,263,bullish,2.34,875,7,2519,73,11,172,1,bearish,2924,405,4305,618,5879,2047,865
8/6/09,179,289,2134,296,bullish,2.09,705,7,2233,73,11,98,1,bearish,2723,490,4263,643,5877,1888,795
8/5/09,257,160,2272,249,bullish,3.15,831,5,2496,74,10,118,1,bearish,2855,359,4360,586,5875,1988,840
8/4/09,335,101,2362,250,bullish,3.34,791,8,2712,75,10,93,1,bearish,3017,305,4384,609,5876,1997,847
8/3/09,579,72,2325,269,bullish,3.00,559,9,2653,73,13,64,1,bearish,2998,345,4288,752,5875,1920,824
7/31/09,229,125,2169,296,bullish,2.91,369,12,2351,71,12,30,0,bearish,2776,425,4174,725,5875,1851,744
7/30/09,427,111,2171,314,bullish,2.76,200,15,2282,70,13,12,0,Neutral,2762,480,4135,752,5874,1846,737
7/29/09,135,217,2049,355,bullish,2.67,191,14,1983,70,14,9,3,Neutral,2574,591,4084,796,5872,1724,679
7/28/09,201,152,2214,314,bullish,4.42,193,19,2191,69,13,13,3,Neutral,2717,526,4055,777,5871,1814,729
7/27/09,318,65,2251,319,bullish,5.03,202,15,2237,68,14,11,4,Neutral,2740,503,3965,809,5871,1826,717
7/24/09,175,67,2293,373,bullish,5.36,224,16,2150,66,15,21,3,bearish,2742,592,3864,886,5871,1757,692
7/23/09,895,58,2250,389,bullish,5.10,296,16,2020,63,17,30,4,bearish,2666,646,3710,984,5871,1759,692
7/22/09,220,84,1978,471,bullish,4.06,229,15,1417,59,19,23,3,bearish,2259,842,3484,1115,5871,1578,612
7/21/09,150,157,2023,484,bullish,2.73,202,16,1289,57,19,17,3,Neutral,2181,892,3346,1142,5871,1544,634
7/20/09,409,51,2061,470,bullish,2.33,96,21,1330,54,20,10,4,Neutral,2226,896,3193,1182,5873,1586,621
7/17/09,121,142,1892,538,bullish,1.65,85,23,856,51,22,9,4,Neutral,1909,1053,2975,1294,5873,1431,537
7/16/09,202,64,1950,502,bullish,1.21,92,22,999,47,23,10,4,Neutral,2015,1016,2782,1366,5871,1491,504
7/15/09,1171,33,1871,552,bullish,1.26,92,26,706,43,28,8,5,Neutral,1839,1133,2532,1620,5871,1432,533
7/14/09,234,54,1546,717,bullish,0.75,51,65,-337,36,33,8,6,Neutral,1184,1521,2136,1925,5871,1192,435
7/13/09,551,60,1492,783,bullish,0.69,31,143,-590,34,34,7,6,Neutral,1036,1626,1987,2004,5871,1148,416
7/10/09,85,88,1482,905,bullish,0.70,21,210,-1034,30,34,5,7,Neutral,894,1928,1781,2017,5869,1000,351
7/9/09,137,75,1586,906,bullish,0.90,25,188,-1059,32,33,7,5,Neutral,900,1959,1849,1917,5869,1016,356
7/8/09,85,427,1565,950,bullish,0.94,23,209,-1099,32,30,7,5,Neutral,886,1985,1898,1775,5869,1008,338
7/7/09,65,322,1666,848,bullish,1.06,29,163,-832,37,27,10,5,Neutral,1029,1861,2190,1613,5869,1090,391
7/6/09,116,416,1848,728,bullish,0.85,39,134,-391,44,25,11,5,Neutral,1230,1621,2572,1444,5869,1231,434
7/2/09,39,673,2055,656,bullish,1.02,49,96,-3,48,23,11,6,Neutral,1505,1508,2814,1327,5869,1293,469
7/1/09,300,62,2429,532,bullish,1.36,91,50,970,52,20,20,2,bearish,2047,1077,3027,1165,5869,1462,546
6/30/09,115,132,2434,560,bullish,1.17,72,70,636,50,21,16,3,Neutral,1873,1237,2918,1231,5868,1439,541
6/29/09,94,48,2478,541,bullish,1.06,90,72,756,49,21,17,4,Neutral,1941,1185,2900,1205,5867,1438,544
6/26/09,759,304,2493,542,bullish,0.79,139,50,774,46,20,27,5,bearish,1963,1189,2715,1193,5865,1437,541
6/25/09,538,51,2334,520,bullish,0.63,104,38,341,42,21,17,4,Neutral,1682,1341,2473,1247,5863,1351,481
6/24/09,262,81,2191,628,bullish,0.53,80,49,-357,37,22,11,4,Neutral,1334,1691,2187,1283,5863,1200,420
6/23/09,114,171,2103,705,bullish,0.50,53,63,-684,38,20,6,4,Neutral,1221,1905,2214,1158,5862,1108,362
6/22/09,36,860,2248,691,bullish,0.58,91,41,-583,43,18,12,2,Neutral,1312,1895,2510,1029,5862,1136,375
6/19/09,318,136,2542,437,bullish,0.78,154,24,556,53,16,20,2,bearish,1828,1272,3122,909,5862,1427,527
6/18/09,135,116,2499,448,bullish,0.73,113,28,497,53,15,17,3,Neutral,1842,1345,3099,888,5871,1370,508
6/17/09,150,260,2529,437,bullish,0.89,101,31,552,55,14,17,3,Neutral,1926,1374,3202,841,5872,1387,503
6/16/09,79,326,2619,419,bullish,0.83,125,39,614,58,13,18,1,Neutral,1936,1322,3425,778,5872,1413,519
6/15/09,55,806,2732,363,bullish,1.02,245,17,,65,12,34,1,bearish,2283,1089,,,5859,1532,564
6/12/09,150,119,2949,274,bullish,2.18,349,17,,71,11,50,1,bearish,2691,734,,,5859,1687,643
6/11/09,282,112,3077,260,bullish,2.43,466,10,,,,69,1,bearish,2671,716,,,,1722,665
6/10/09,233,228,3089,253,bullish,2.43,245,27,,,,35,1,bearish,2682,708,,,,1715,641
6/9/09,313,82,3294,229,bullish,2.23,207,34,,,,29,2,bearish,2822,644,,,,1723,646
6/8/09,106,160,3290,240,bullish,2.83,149,48,,,,27,3,bearish,2803,681,,,5859,1668,620
6/5/09,222,145,3362,241,bullish,2.98,276,25,,,,38,2,bearish,2960,605,,,,1693,624
6/4/09,445,59,3383,223,bullish,2.69,221,41,,,,31,3,bearish,3014,596,,,,1716,640
6/3/09,110,353,3362,267,bullish,2.34,332,35,,,,27,1,bearish,2461,1054,,,,1382,478
6/2/09,325,132,3407,240,bullish,2.80,272,40,,,,38,2,bearish,2999,629,,,,1691,618
6/1/09,985,62,3363,241,bullish,3.38,413,21,,,,61,1,bearish,2942,647,,,5866,1693,627
5/29/09,551,136,3222,317,bullish,2.54,335,39,,,,51,1,bearish,2564,859,,,,1495,526
5/28/09,309,124,3154,349,bullish,2.47,279,56,,,,46,3,bearish,2393,1009,,,,1407,490
5/27/09,137,319,3146,357,bullish,1.36,332,35,,,,56,2,bearish,2461,1054,,,,1382,478
5/26/09,1215,66,3238,284,bullish,1.35,396,26,,,,63,1,bearish,2746,841,,,5891,1447,497
5/22/09,112,84,3087,409,bullish,0.90,230,48,,,,34,1,bearish,2409,1278,,,,1236,414
5/21/09,103,261,3099,382,bullish,1.12,298,36,,,,48,1,bearish,2423,1220,,,,1277,436
5/20/09,255,219,3153,316,bullish,1.04,385,29,,,,68,2,bearish,2595,977,,,,1400,479
5/19/09,319,135,3146,304,bullish,1.17,394,27,,,,66,3,bearish,2714,897,,,,1384,457
5/18/09,907,42,3146,307,bullish,1.13,476,15,,,,89,4,bearish,2773,881,,,5892,1391,449
5/15/09,124,199,2974,465,bullish,1.25,158,52,,,,30,4,bearish,2586,1448,,,,1172,342
5/14/09,280,75,3022,389,bullish,1.34,192,39,,,,34,4,bearish,2665,1257,,,,1198,370
5/13/09,30,1168,2966,458,bullish,1.28,202,36,,,,34,3,bearish,2511,1558,,,,1104,333
5/12/09,177,351,3145,274,bullish,2.35,428,22,,,,97,3,bearish,2883,773,,,,1424,495
5/11/09,222,279,3146,245,bullish,2.61,404,29,,,,83,3,bearish,2956,555,,,5892,1488,525
5/8/09,719,79,3202,231,bullish,2.49,511,25,,,,118,3,bearish,3065,421,,,,1556,537
5/7/09,237,584,3070,296,bullish,2.48,551,20,,,,133,3,bearish,2949,600,,,,1361,448
5/6/09,579,172,3120,260,bullish,2.97,802,14,,,,208,3,bearish,3019,378,,,,1464,491
5/5/09,289,212,3056,287,bullish,2.88,579,20,,,,118,3,bearish,2971,404,,,,1391,453
5/4/09,1308,62,3065,283,bullish,3.41,520,17,,,,115,3,bearish,3029,350,,,5904,1415,453
5/1/09,317,127,2918,376,bullish,1.62,406,27,,,,77,3,bearish,2899,529,,,,1191,349
4/30/09,396,301,2917,417,bullish,1.68,607,21,,,,130,3,bearish,2930,501,,,,1163,332
4/29/09,1009,73,2934,405,bullish,1.96,693,14,,,,150,2,bearish,3002,427,,,,1156,318
4/28/09,236,147,2781,492,bullish,1.64,603,14,,,,109,3,bearish,2969,648,,,,988,248
4/27/09,163,354,2740,496,bullish,1.34,374,17,,,,59,3,bearish,2992,646,,,5925,985,240
4/24/09,723,87,2823,433,bullish,1.51,344,19,,,,62,3,bearish,3238,452,,,,1087,279
4/23/09,240,239,2735,507,bullish,1.87,351,14,,,,51,2,bearish,3175,580,,,,957,218
4/22/09,401,163,2731,496,bullish,2.05,444,12,,,,65,1,bearish,3180,493,,,,946,229
4/21/09,723,65,2741,516,bullish,1.65,298,13,,,,37,1,bearish,3204,462,,,,935,219
4/20/09,56,1078,2565,654,bullish,1.33,464,12,,,,61,1,bearish,3127,801,,,5926,793,175
4/17/09,458,118,2869,456,bullish,2.07,630,10,,,,102,0,bearish,3323,288,,,,1045,249
4/16/09,713,88,2840,517,bullish,2.64,523,11,,,,87,1,bearish,3289,290,,,,981,229
4/15/09,273,98,2733,598,bullish,2.49,562,6,,,,96,1,bearish,3243,376,,,,856,205
4/14/09,175,638,2650,731,Bullish,2.56,655,5,,,,99,1,bearish,3200,468,,,,806,178
4/13/09,266,98,2776,709,Bullish,2.25,804,7,,,,137,2,bearish,3269,357,,,5954,876,200
4/9/09,1598,35,2793,757,Bullish,2.00,814,7,,,,138,1,bearish,3280,364,,,,812,185
4/8/09,371,79,2491,1051,Bullish,1.73,765,7,,,,126,1,bearish,3163,635,,,,623,125
4/7/09,84,568,2332,1155,Bullish,1.77,691,13,,,,94,1,bearish,3100,827,,,,522,107
