Kuerzel;Sektor;Industry;Scan;Set-Up;Tag des Ausbruchs;Entry;$ Tag 1;$ Tag 1 Low;$ Tag 2;$ Tag 2 Low;$ Tag 2 High;$ Tag 3;$ Tag 3 Low;$ Tag 3 High;$ Tag 4;$ Tag 4 Low;$ Tag 4 High;$ Tag 5;$ Tag 5 Low;$ Tag 5 High;VIX CBOE 1-day;Move 1 day;Move 2 day;Move 3 day;Move 4 day;Move 5 day
EDN;Utilities;Regulated Electric;Bidback;Continuation;02.01.25;45,66 €;44,65 €;43,30 €;43,57 €;43,33 €;46,01 €;42,62 €;41,70 €;44,28 €;37,45 €;36,76 €;41,53 €;36,95 €;36,00 €;38,55 €;15,43;-2,21%;-4,58%;-6,66%;-17,98%;-19,08%
ZIM;Industrials;Shipping & Ports;Bidback;Continuation;02.01.25;22,92 €;22,49 €;22,32 €;21,45 €;23,00 €;21,36 €;21,51 €;21,56 €;20,36 €;20,72 €;20,45 €;21,12 €;19,09 €;18,54 €;19,33 €;15,43;-1,88%;-6,41%;-6,15%;-9,60%;-16,71%
IRS;Real Estate;Real Estate Services;Bidback;Consolidation;02.01.25;15,37 €;16,02 €;15,30 €;16,10 €;15,70 €;16,43 €;15,25 €;15,17 €;16,39 €;15,51 €;14,86 €;15,89 €;15,69 €;14,84 €;15,87 €;15,43;4,23%;4,75%;-0,78%;0,91%;2,08%
TEO;Communication Service;Telecom Services;Bidback;Continuation;02.01.25;13,42 €;14,18 €;13,09 €;14,18 €;14,12 €;15,17 €;14,04 €;13,11 €;15,53 €;13,55 €;13,25 €;14,51 €;13,72 €;13,03 €;13,73 €;15,43;5,66%;5,66%;4,62%;0,97%;2,24%
BIOX;Basic;Agricultural Inputs;Bidback;Consolidation;02.01.25;6,56 €;6,40 €;6,33 €;6,61 €;6,40 €;6,74 €;6,79 €;6,62 €;7,12 €;6,66 €;6,51 €;7,11 €;6,54 €;6,47 €;6,99 €;15,43;-2,44%;0,76%;3,51%;1,52%;-0,30%
SOAR;Industrials;Airports & Air Services;Bidback;Continuation;02.01.25;6,76 €;7,05 €;6,73 €;6,58 €;6,30 €;7,25 €;6,30 €;6,25 €;6,97 €;5,99 €;5,79 €;6,45 €;5,74 €;5,25 €;5,93 €;17,93;4,29%;-2,66%;-6,80%;-11,39%;-15,09%
PAY;Technology;Software - Infrastructure;Bidback;Consolidation;03.01.25;34,10 €;32,99 €;32,90 €;31,86 €;30,95 €;33,05 €;31,65 €;31,07 €;32,22 €;30,25 €;29,84 €;31,61 €;30,25 €;29,11 €;30,27 €;11,59;-3,26%;-6,57%;-7,18%;-11,29%;-11,29%
RIVN;Consumer Cyclcial;Auto Manufacturers;Bidback;Continuation;03.01.25;15,65 €;15,72 €;15,53 €;14,95 €;14,81 €;16,34 €;14,21 €;13,98 €;14,76 €;13,85 €;13,76 €;14,15 €;13,49 €;13,01 €;13,63 €;11,59;0,45%;-4,47%;-9,20%;-11,50%;-13,80%
SYTA;Technology;Communication Equipment;Bidback;Continuation;03.01.25;6,35 €;6,88 €;5,75 €;8,78 €;5,69 €;6,26 €;8,73 €;5,70 €;6,30 €;7,42 €;5,81 €;6,89 €;6,78 €;6,25 €;7,25 €;11,59;8,35%;38,27%;37,48%;16,85%;6,77%
CRNT;Technology;Communication Equipment;Bidback;Consolidation;06.01.25;5,28 €;5,36 €;5,14 €;5,00 €;4,79 €;5,39 €;4,81 €;4,71 €;4,98 €;4,43 €;4,36 €;4,65 €;4,73 €;4,56 €;4,81 €;11,42;1,52%;-5,30%;-8,90%;-16,10%;-10,42%
GILT;Technology;Communication Equipment;Bidback;Continuation;06.01.25;6,58 €;6,48 €;6,33 €;6,32 €;6,20 €;6,51 €;6,28 €;6,14 €;6,33 €;6,43 €;6,32 €;6,52 €;6,58 €;6,45 €;6,70 €;11,42;-1,52%;-3,95%;-4,56%;-2,28%;0,00%
FRO;Energy;Oil & Gas Midstream;Bidback;Continuation Gap up;07.01.25;15,59 €;15,83 €;15,32 €;17,23 €;16,82 €;17,45 €;18,30 €;17,71 €;18,61 €;18,45 €;17,82 €;18,54 €;18,70 €;18,43 €;18,82 €;14,25;1,54%;10,52%;17,38%;18,35%;19,95%
CC;Basic;Specialty Chemicals;Bidback;Consolidation;07.01.25;17,90 €;17,90 €;17,01 €;17,64 €;16,87 €;17,36 €;18,38 €;17,13 €;17,97 €;18,63 €;17,77 €;18,17 €;18,79 €;18,13 €;18,85 €;14,25;0,00%;-1,45%;2,68%;4,08%;4,97%
CXW;Industrials;Security & Protection Services;Bidback;Continuation;08.01.25;22,04 €;22,08 €;21,88 €;22,09 €;21,30 €;22,11 €;22,34 €;21,95 €;22,63 €;22,82 €;22,45 €;23,45 €;22,71 €;22,66 €;23,24 €;18,67;0,18%;0,23%;1,36%;3,54%;3,04%
VVOS;Healthcare;Medical Devices;Bidback;Consolidation;10.01.25;4,65 €;4,85 €;4,41 €;5,06 €;4,63 €;5,35 €;5,12 €;4,97 €;5,37 €;5,95 €;4,94 €;5,97 €;5,74 €;5,61 €;6,28 €;16,41;4,30%;8,82%;10,11%;27,96%;23,44%
IE;Basic;Copper;Bidback;Bottom Bounce;10.01.25;6,94 €;6,86 €;6,60 €;6,83 €;6,47 €;6,96 €;6,82 €;6,74 €;7,01 €;6,89 €;6,74 €;7,06 €;6,71 €;6,68 €;7,01 €;16,41;-1,15%;-1,59%;-1,73%;-0,72%;-3,31%
AEYE;Technology;Software - Application;Bidback;Bottom Bounce;10.01.25;14,76 €;14,78 €;14,41 €;15,26 €;14,68 €;15,33 €;16,22 €;15,40 €;16,27 €;16,05 €;15,91 €;16,71 €;17,22 €;16,20 €;17,35 €;16,41;0,14%;3,39%;9,89%;8,74%;16,67%
